"Name","Comment"
"teecheribabie","Some of us need this this morning 🔥"
"nino_yourcarguy","Wes is always on point ! 🔥💪🏼🔥💪🏼"
"cblanco699","Facts bro 💯"
"travsphyisque","Lead the pack 🙌"
"jacobhernani","No excuses let’s go! 🔥"
"golfrockstargolf","@amatos87"
"_fortified.fitness_","Facts 🔥"
"bbkingdavid","I don’t care if you hate this guy or think he’s arrogant, it’s only the truth. The people who don’t like it are probably fat/sad."
"deeezy_ee","Facts"
"joshmcgator","Ouch"
"christopherbolliger","My biggest fear is letting my future children down."
"thenikkigshow","FAAAAAACTTTTSSSSSS 👏🏽👏🏽👏🏽"
"_whiteboy_ceo_","😂"
"drzg28","🔥🔥🔥🔥"
"eazye600rr","Fucking TRUTH!"
"abramandis","🗣️Ruthless advice. This one cuts to the bone ‼️"
"rozzario7","Yup very true 👏"
"lukaslovesliving","FACTS!!!!!!! You have a responsibility, ESPECIALLY to those who look to you for guidance."
"yalejews13_","🤢🤮🤮🤮"
"the_nomadic_investor","How long did it take you to learn this?"
"ericabyrness","Real men dont talk this way. They dont need to name call and shame."
"dandemott","Best Coach/Leader in the game! Changing so many lives, and straight saving men. Thanks for what you do, Big Wes!"
"alissamae_lipslay","@jenmoss7 💯💯 blaming your parents is for the weak minded. I grew up around crystal meth and heroin, and all kinds of fucked up shit and extremely poor! I didn’t jump on the drug addict bandwagon and drooping out of school  like my entire family. I chose a different path because I wanted some thing for myself and my kid. The easy route out is to blame your parents. I’ve never felt sorry for people who use that as an excuse, growing up the way I did made me who the fuck I am today 💯💯"
"_fitnessdani_","Agreed 100% If you keep starting over, you WILL lose your credibility. Just stick with it, go hard, and most importantly, TRUST YOURSELF! You are always, and forever will be, up to YOU 🥂✨"
"100_percent_tax","Wish everyone saw it this way !"
"business_focus1","🔥🔥🔥"
"business_focus1","😍😍😍"
"rubenresendez","DAMN who can argue with this message right here?!?"
"coachpatrick17","Love this 👏🔥"
"606profits","🔥🔥"
"nicky_c6","Truth"
"nicky_c6","@watson_fit truth bro. This guys a troll. I teach my boys train every day work hard every day and you will achieve greatness"
"imsoatx","🎯💯‼️"
"chrissyboyy522","🙌🙌🙌 big facts."
"big_squalo","🔥🔥🔥🔥🔥"
"big_squalo","Facts beast up"
"clbpsz","👏👏👏❤️❤️❤️"
"wealth_generator_dd","👏🏽👏🏽👏🏽💪🏽💪🏽💪🏽"
"fit_4theking","My familys ON POINT cuz of me💪🏽 thank God, NEVER STOPN🔥"
"maias_chair","Hell yeah Wes! 👏🏼"
"eddierodriguez1979","🔥🔥🔥🔥 needed that today 💪🏼"
"cashflow.357","Bro spitting facts ! 🔥"
"jennykatehugs","Love this👏"
"juanlone19","💪🏽💯💯💯"
"dmacfitness_weaponry81","TRUTH BOMBS 💣"
